"id","text","user","RT","retweetCount","favoriteCount","latitude","longitude","time","client"
"713743411141017600","RT @StuartMumford: SUCCESS! The lastest @SunPyProject release is now in the new OpenAstronomy conda channel: https://t.co/MgqL3AIKtN @astro…","Open_Astronomy",TRUE,5,0,NA,NA,"2016-03-26 15:04:24","TweetDeck"
"714417236623147008","RT @exoplaneteer: The #pyastro16 talk recordings are now available: https://t.co/yEWkRTW2IA","npr247",TRUE,14,0,NA,NA,"2016-03-28 11:41:57","Twitter Web Client"
"712326266527952896","Proposed sprint: Urban Dictionary for coders. 
This is totally on fleek! #PyAstro16","PeterYoachim",FALSE,0,1,NA,NA,"2016-03-22 17:13:10","Twitter Web Client"
"712726191564800000","RT @brettmor: Really excited to share new @NASANewHorizons results published last week at tonight's #AstroOnTap at @AoTSeattle. #PyAstro16 …","astronomyontap",TRUE,4,0,NA,NA,"2016-03-23 19:42:20","Twitter for iPhone"
"715345812293857287","RT @astrofrog: If you weren't able to come to #pyastro16, you can check out all the talks in this YouTube channel: https://t.co/Ru7hmaU50L","thespacelink",TRUE,4,0,NA,NA,"2016-03-31 01:11:46","Twitter Web Client"
"713045351788318721","RT @jakevdp: Slides from my #PyAstro16 lightning talk: ""In Defense of Extreme Openness"" https://t.co/ghC4JF0RjL","laura_hayess",TRUE,55,0,NA,NA,"2016-03-24 16:50:34","Twitter Web Client"
"713396645266726912","84 tests passed! Some tests written before code was! -@jakevdp #pyastro16 #sprints","abigailStev",FALSE,1,0,NA,NA,"2016-03-25 16:06:29","Twitter Web Client"
"711957373485645824","RT @eteq: .@AstroBrigi at #PyAstro16 points out &gt;160 contributors to @Astropy - here's the growth-over-time to end of 2015 https://t.co/5Dt…","StuartMumford",TRUE,2,0,NA,NA,"2016-03-21 16:47:20","Corebird"
"713740380190060544","RT @adrianprw: I just paid $1 for this beer and that's the final straw - I'm moving to seattle #PyAstro16 https://t.co/wmJJhnncTh","shareastronomy",TRUE,1,0,NA,NA,"2016-03-26 14:52:21","Twitter Web Client"
"714417194847846400","RT @njgoldbaum: The youtube video of my #pyastro16 talk is now up! https://t.co/pUvWWAnKej","npr247",TRUE,3,0,NA,NA,"2016-03-28 11:41:47","Twitter Web Client"
"712325458541416448","RT @kylebarbary: Slides for my talk on #JuliaLang and #Python in astronomy at #pyastro16: https://t.co/ZL5JaThBmu","StuartMumford",TRUE,2,0,NA,NA,"2016-03-22 17:09:58","Corebird"
"712725886475362305",".@glueviz isn't just fun and cool looking -- recent major discovery abt Galactic dust was made possible by glue! Schalfly+2015 #PyAstro16","jegpeek",FALSE,0,1,NA,NA,"2016-03-23 19:41:07","Twitter for iPhone"
"715298214073745408","RT @astrofrog: If you weren't able to come to #pyastro16, you can check out all the talks in this YouTube channel: https://t.co/Ru7hmaU50L","eblur27",TRUE,4,0,NA,NA,"2016-03-30 22:02:38","TweetDeck"
"713045048703647744","@stephtdouglas notebook here: https://t.co/5cqOZfuD8u #pyastro16","astrofrog",FALSE,0,1,NA,NA,"2016-03-24 16:49:22","Twitter for Mac"
"713396431462273024","RT @abigailStev: In Bayesian notation: @exoplaneteer #pyastro16 https://t.co/wTb286cDCQ","asymfree",TRUE,8,0,NA,NA,"2016-03-25 16:05:38","Twitter Web Client"
"711957285325512705","Give us ideas for sprint time later! #PyAstro16  https://t.co/4C7Mq8CQyd","brettmor",FALSE,2,0,NA,NA,"2016-03-21 16:46:59","TweetDeck"
"713740109988823041","RT @GeertHub: Seattle has been a fabulous host for #PyAstro16. The sinks here even have @astropy sticker holders! /cc @ruthangus https://t.…","shareastronomy",TRUE,1,0,NA,NA,"2016-03-26 14:51:17","Twitter Web Client"
"714410800346062848","RT @eteq: A bit late, but anyone interested in my #PyAstro16 tutorial on Python packaging can check out https://t.co/SISwZpNRHk for the pre…","floss4science",TRUE,6,0,NA,NA,"2016-03-28 11:16:22","Twitter for Android"
"712325169490976768","Slides for my talk on #JuliaLang and #Python in astronomy at #pyastro16: https://t.co/ZL5JaThBmu","kylebarbary",FALSE,2,2,NA,NA,"2016-03-22 17:08:49","Twitter Web Client"
"712725742904287232","RT @jakevdp: Slides from my #PyAstro16 lightning talk: ""In Defense of Extreme Openness"" https://t.co/ghC4JF0RjL","almarklein",TRUE,42,0,NA,NA,"2016-03-23 19:40:33","Twitter for Android"
"715196869446647808","RT @AstroBrigi: Big thanks to the organizers of #pyastro16, this was a fabulous and very productive meeting in an awesome city and venue.","astronomatty",TRUE,1,0,NA,NA,"2016-03-30 15:19:56","Twitter Web Client"
"713044870101774336","@stephtdouglas in case this is useful for your #pyastro16 sprint, I have a python lecture notes with astro problems: https://t.co/QytDHxrL0K","astrofrog",FALSE,0,1,NA,NA,"2016-03-24 16:48:39","Twitter for Mac"
"713396366664269825","First: @jakevdp on his implementation of the Lomb-Scargle periodogram. #pyastro16 #sprints","abigailStev",FALSE,0,1,NA,NA,"2016-03-25 16:05:22","Twitter Web Client"
"711957177225732096","Missing a feature in @astropy? Discussion and voting on new features takes place here: https://t.co/AHZUVgWCan -- open to all! #PyAstro16","GeertHub",FALSE,0,0,NA,NA,"2016-03-21 16:46:33","Twitter for Android"
"713729196472844288","RT @abigailStev: We as referees can be very vocal about open-source software, ensuring correct citation for software. @kellecruz @astrofrog…","Brad_Burgen",TRUE,3,0,NA,NA,"2016-03-26 14:07:55","Twitter for Android"
"714405770188689408","RT @eteq: A bit late, but anyone interested in my #PyAstro16 tutorial on Python packaging can check out https://t.co/SISwZpNRHk for the pre…","astrogrant",TRUE,6,0,NA,NA,"2016-03-28 10:56:23","Twitter for iPhone"
